value,district,area,month
9.0,Bay Of Plenty,Eastern Bay of Plenty,2011-07-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2011-08-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2011-09-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2011-10-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2011-11-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2011-12-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2012-01-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2012-02-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2012-03-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2012-04-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2012-05-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2012-06-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2012-07-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2012-08-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2012-09-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2012-10-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2012-11-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2012-12-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2013-01-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2013-02-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2013-03-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2013-04-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2013-05-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2013-06-01
0.0,Bay Of Plenty,Eastern Bay of Plenty,2013-07-01
7.0,Bay Of Plenty,Eastern Bay of Plenty,2013-08-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2013-09-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2013-10-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2013-11-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2013-12-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2014-01-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2014-02-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2014-03-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2014-04-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2014-05-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2014-06-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2014-07-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2014-08-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2014-09-01
6.0,Bay Of Plenty,Eastern Bay of Plenty,2014-10-01
6.0,Bay Of Plenty,Eastern Bay of Plenty,2014-11-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2014-12-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2015-01-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2015-02-01
4.0,Bay Of Plenty,Eastern Bay of Plenty,2015-03-01
6.0,Bay Of Plenty,Eastern Bay of Plenty,2015-04-01
6.0,Bay Of Plenty,Eastern Bay of Plenty,2015-05-01
8.0,Bay Of Plenty,Eastern Bay of Plenty,2015-06-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2015-07-01
6.0,Bay Of Plenty,Eastern Bay of Plenty,2015-08-01
7.0,Bay Of Plenty,Eastern Bay of Plenty,2015-09-01
8.0,Bay Of Plenty,Eastern Bay of Plenty,2015-10-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2015-11-01
3.0,Bay Of Plenty,Eastern Bay of Plenty,2015-12-01
2.0,Bay Of Plenty,Eastern Bay of Plenty,2016-01-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2016-02-01
5.0,Bay Of Plenty,Eastern Bay of Plenty,2016-03-01
1.0,Bay Of Plenty,Eastern Bay of Plenty,2016-04-01
7.0,Bay Of Plenty,Eastern Bay of Plenty,2016-05-01
