value,series,district,area,speed,month
3e3,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2013-01-01
3600.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2013-01-01
1020.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2013-01-01
1890.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2013-01-01
7890.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2013-12-01
27040.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2013-12-01
19680.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2013-12-01
9350.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2013-12-01
5520.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2013-12-01
2400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2013-12-01
2e3,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2013-12-01
510.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2013-12-01
4770.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2014-01-01
26320.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2014-01-01
20760.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2014-01-01
15130.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2014-01-01
6900.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2014-01-01
4200.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2014-01-01
2400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2014-01-01
510.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2014-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2014-01-01
5190.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2014-12-01
28960.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2014-12-01
24480.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2014-12-01
11900.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2014-12-01
6440.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2014-12-01
5400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2014-12-01
2400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2014-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2014-12-01
630.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2014-12-01
2820.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2015-01-01
25840.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2015-01-01
20400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2015-01-01
11900.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2015-01-01
9200.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2015-01-01
4800.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2015-01-01
1600.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2015-01-01
2550.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2015-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2015-01-01
4140.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2015-12-01
30160.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2015-12-01
25320.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2015-12-01
12240.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2015-12-01
8740.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2015-12-01
5400.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2015-12-01
1600.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2015-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2015-12-01
1260.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2015-12-01
1470.0,Officer-issued excess speed band monetary amount,Central,Manawatu, <11,2016-01-01
22720.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 11-15,2016-01-01
22080.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 16-20,2016-01-01
13260.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 21-25,2016-01-01
8280.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 26-30,2016-01-01
3300.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 31-35,2016-01-01
1600.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 36-40,2016-01-01
3060.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 41-45,2016-01-01
1890.0,Officer-issued excess speed band monetary amount,Central,Manawatu, 46-50,2016-01-01
60.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2009-12-01
19520.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2009-12-01
25080.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2009-12-01
15470.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2009-12-01
9890.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2009-12-01
4200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2009-12-01
2800.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2009-12-01
120.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2010-01-01
30480.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2010-01-01
27480.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2010-01-01
19550.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2010-01-01
7820.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2010-01-01
3300.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2010-01-01
3200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2010-01-01
1530.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2010-01-01
960.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2010-12-01
27520.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2010-12-01
29400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2010-12-01
14960.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2010-12-01
8970.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2010-12-01
4500.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2010-12-01
1200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2010-12-01
510.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2010-12-01
630.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2010-12-01
360.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2011-01-01
26400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2011-01-01
27e3,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2011-01-01
14960.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2011-01-01
6670.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2011-01-01
3300.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2011-01-01
2400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2011-01-01
2040.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2011-01-01
630.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2011-01-01
2070.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2011-12-01
28800.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2011-12-01
25800.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2011-12-01
14110.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2011-12-01
5980.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2011-12-01
3e3,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2011-12-01
2400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2011-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2011-12-01
630.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2011-12-01
690.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2012-01-01
17440.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2012-01-01
19920.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2012-01-01
11390.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2012-01-01
3680.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2012-01-01
900.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2012-01-01
400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2012-01-01
1170.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2012-12-01
24560.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2012-12-01
24360.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2012-12-01
10540.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2012-12-01
6900.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2012-12-01
2700.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2012-12-01
4400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2012-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2012-12-01
1890.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2012-12-01
960.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2013-01-01
21920.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2013-01-01
23760.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2013-01-01
11900.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2013-01-01
7360.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2013-01-01
4500.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2013-01-01
4e3,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2013-01-01
1530.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2013-01-01
3150.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2013-01-01
4140.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2013-12-01
22080.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2013-12-01
16200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2013-12-01
9180.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2013-12-01
6210.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2013-12-01
3300.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2013-12-01
2400.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2013-12-01
510.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2013-12-01
630.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2013-12-01
3330.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2014-01-01
22560.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2014-01-01
19200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2014-01-01
10710.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2014-01-01
5520.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2014-01-01
3600.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2014-01-01
2800.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2014-01-01
510.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2014-01-01
630.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 46-50,2014-01-01
3600.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2014-12-01
20880.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2014-12-01
14160.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2014-12-01
7820.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2014-12-01
3910.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2014-12-01
3300.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2014-12-01
2e3,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2014-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2014-12-01
1650.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2015-01-01
21200.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2015-01-01
15600.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2015-01-01
10710.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2015-01-01
6670.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2015-01-01
3600.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2015-01-01
2800.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2015-01-01
510.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2015-01-01
4530.0,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2015-12-01
29680.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2015-12-01
20040.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2015-12-01
11900.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2015-12-01
5520.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2015-12-01
5100.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2015-12-01
510.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2015-12-01
3e3,Officer-issued excess speed band monetary amount,Central,Taranaki, <11,2016-01-01
22320.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 11-15,2016-01-01
16080.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 16-20,2016-01-01
10880.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 21-25,2016-01-01
5060.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 26-30,2016-01-01
2100.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 31-35,2016-01-01
2e3,Officer-issued excess speed band monetary amount,Central,Taranaki, 36-40,2016-01-01
1020.0,Officer-issued excess speed band monetary amount,Central,Taranaki, 41-45,2016-01-01
480.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2009-12-01
39680.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2009-12-01
56040.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2009-12-01
34850.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2009-12-01
23e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2009-12-01
15600.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2009-12-01
8800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2009-12-01
4590.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2009-12-01
3150.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2009-12-01
420.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2010-01-01
36160.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2010-01-01
50400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2010-01-01
30940.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2010-01-01
13800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2010-01-01
11400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2010-01-01
4800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2010-01-01
2550.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2010-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2010-01-01
2220.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2010-12-01
35120.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2010-12-01
44160.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2010-12-01
25670.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2010-12-01
14030.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2010-12-01
8400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2010-12-01
7600.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2010-12-01
2040.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2010-12-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2010-12-01
1470.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2011-01-01
36320.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2011-01-01
45840.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2011-01-01
31450.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2011-01-01
17020.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2011-01-01
8700.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2011-01-01
9200.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2011-01-01
3570.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2011-01-01
1890.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2011-01-01
2130.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2011-12-01
40880.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2011-12-01
47640.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2011-12-01
30260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2011-12-01
16330.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2011-12-01
11400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2011-12-01
4400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2011-12-01
3060.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2011-12-01
1890.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2011-12-01
630.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2012-01-01
26640.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2012-01-01
39360.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2012-01-01
23800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2012-01-01
15180.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2012-01-01
8100.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2012-01-01
6e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2012-01-01
510.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2012-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2012-01-01
2970.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2012-12-01
32960.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2012-12-01
34200.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2012-12-01
19890.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2012-12-01
11270.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2012-12-01
7800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2012-12-01
6400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2012-12-01
1890.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2012-12-01
930.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2013-01-01
30080.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2013-01-01
31680.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2013-01-01
23800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2013-01-01
13110.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2013-01-01
4500.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2013-01-01
4e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2013-01-01
2040.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2013-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2013-01-01
13260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2013-12-01
48960.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2013-12-01
37560.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2013-12-01
21590.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2013-12-01
10580.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2013-12-01
7800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2013-12-01
4400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2013-12-01
1530.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2013-12-01
1890.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2013-12-01
10620.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2014-01-01
49200.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2014-01-01
36960.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2014-01-01
21760.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2014-01-01
12880.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2014-01-01
8100.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2014-01-01
4e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2014-01-01
2040.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2014-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2014-01-01
8160.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2014-12-01
55040.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2014-12-01
42360.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2014-12-01
28220.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2014-12-01
15640.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2014-12-01
9e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2014-12-01
4e3,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2014-12-01
4590.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2014-12-01
3150.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2014-12-01
4500.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2015-01-01
47840.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2015-01-01
40680.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2015-01-01
26010.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2015-01-01
15640.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2015-01-01
11400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2015-01-01
7600.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2015-01-01
1530.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2015-01-01
1260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2015-01-01
6900.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2015-12-01
56240.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2015-12-01
51360.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2015-12-01
27540.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2015-12-01
16560.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2015-12-01
8100.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2015-12-01
5200.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2015-12-01
1020.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2015-12-01
4410.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2015-12-01
4260.0,Officer-issued excess speed band monetary amount,Central,Whanganui, <11,2016-01-01
44800.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 11-15,2016-01-01
41640.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 16-20,2016-01-01
26180.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 21-25,2016-01-01
15870.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 26-30,2016-01-01
7500.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 31-35,2016-01-01
4400.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 36-40,2016-01-01
2550.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 41-45,2016-01-01
2520.0,Officer-issued excess speed band monetary amount,Central,Whanganui, 46-50,2016-01-01
90.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, <11,2009-12-01
10720.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 11-15,2009-12-01
11040.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 16-20,2009-12-01
3740.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 21-25,2009-12-01
1610.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 26-30,2009-12-01
800.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 36-40,2009-12-01
1530.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 41-45,2009-12-01
30.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, <11,2010-01-01
10320.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 11-15,2010-01-01
12600.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 16-20,2010-01-01
5270.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 21-25,2010-01-01
3220.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 26-30,2010-01-01
1200.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 31-35,2010-01-01
1200.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 36-40,2010-01-01
510.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 41-45,2010-01-01
30.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, <11,2010-12-01
5200.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 11-15,2010-12-01
4680.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 16-20,2010-12-01
1700.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 21-25,2010-12-01
920.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 26-30,2010-12-01
900.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 31-35,2010-12-01
800.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 36-40,2010-12-01
90.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, <11,2011-01-01
6800.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 11-15,2011-01-01
8760.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 16-20,2011-01-01
4590.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 21-25,2011-01-01
2300.0,Officer-issued excess speed band monetary amount,Counties/Manukau,CM Central, 26-30,2011-01-01
