value,series,district,area,speed,year
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,16-20,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,<11,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,16-20,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,36-40,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,46-50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,>50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,11-15,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland Central Area,31-35,2016-01-01
15.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2009-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,26-30,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2009-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2010-01-01
24.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2010-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2011-01-01
13.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,26-30,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2011-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2012-01-01
16.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2012-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2012-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2013-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2013-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2014-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2014-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,46-50,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2014-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2015-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,21-25,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,41-45,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,<11,2016-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,11-15,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,16-20,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,36-40,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland East Area,>50,2016-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2009-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2010-01-01
14.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2010-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2010-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2010-01-01
14.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2011-01-01
18.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,26-30,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,41-45,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,46-50,2011-01-01
13.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2012-01-01
14.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2012-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,26-30,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,36-40,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,41-45,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,>50,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2013-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,26-30,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,41-45,2013-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2014-01-01
11.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,21-25,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,31-35,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,36-40,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,41-45,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,>50,2014-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2015-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,46-50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,<11,2016-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,11-15,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,16-20,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,26-30,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,31-35,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,36-40,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,41-45,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Auckland,Auckland West Area,46-50,2016-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,11-15,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,16-20,2010-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,11-15,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,21-25,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,<11,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,26-30,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,<11,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,11-15,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,11-15,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,31-35,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,36-40,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,41-45,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,46-50,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,16-20,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,11-15,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Eastern Bay of Plenty,41-45,2016-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,16-20,2009-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,>50,2009-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,<11,2010-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,16-20,2010-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,31-35,2010-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,>50,2010-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,<11,2011-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,16-20,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,31-35,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,41-45,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,46-50,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,>50,2011-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,<11,2012-01-01
13.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2012-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,16-20,2012-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2012-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,<11,2013-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2013-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,16-20,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,41-45,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,>50,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,<11,2014-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,21-25,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,26-30,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,31-35,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,46-50,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,11-15,2015-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,36-40,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,41-45,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,31-35,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Rotorua,41-45,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,<11,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2010-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,16-20,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,21-25,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,26-30,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,16-20,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,26-30,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,36-40,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,41-45,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,<11,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,16-20,2013-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,16-20,2014-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,31-35,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,36-40,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,46-50,2014-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,11-15,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,31-35,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,36-40,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,41-45,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Taupo,>50,2016-01-01
11.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2009-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,21-25,2009-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,26-30,2009-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2010-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2010-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,21-25,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2011-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2011-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,31-35,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2012-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,21-25,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,26-30,2013-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,31-35,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,16-20,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,31-35,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,36-40,2015-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,41-45,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,>50,2015-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,<11,2016-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Bay Of Plenty,Western Bay of Plenty,11-15,2016-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2009-01-01
16.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2009-01-01
5.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2009-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2010-01-01
26.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2010-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2010-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,21-25,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,26-30,2010-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,36-40,2010-01-01
10.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2011-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2011-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2011-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,21-25,2011-01-01
26.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2012-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2012-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2012-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,21-25,2012-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,26-30,2012-01-01
17.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2013-01-01
14.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2013-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,21-25,2013-01-01
1.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,31-35,2013-01-01
27.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2014-01-01
8.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2014-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,16-20,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,26-30,2014-01-01
6.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,31-35,2014-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,36-40,2014-01-01
3.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,41-45,2014-01-01
2.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,46-50,2014-01-01
7.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,>50,2014-01-01
9.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,<11,2015-01-01
4.0,Police vehicle speed detections by calendar year* and speed band,Canterbury,Canterbury Metro,11-15,2015-01-01
