value,district,month
10.0,Canterbury,2010-09-01
20.0,Canterbury,2010-10-01
7.0,Canterbury,2010-11-01
25.0,Canterbury,2010-12-01
22.0,Canterbury,2011-01-01
10.0,Canterbury,2011-02-01
18.0,Canterbury,2011-03-01
24.0,Canterbury,2011-04-01
32.0,Canterbury,2011-05-01
20.0,Canterbury,2011-06-01
19.0,Canterbury,2011-07-01
22.0,Canterbury,2011-08-01
24.0,Canterbury,2011-09-01
33.0,Canterbury,2011-10-01
30.0,Canterbury,2011-11-01
33.0,Canterbury,2011-12-01
16.0,Canterbury,2012-01-01
19.0,Canterbury,2012-02-01
12.0,Canterbury,2012-03-01
19.0,Canterbury,2012-04-01
14.0,Canterbury,2012-05-01
16.0,Canterbury,2012-06-01
17.0,Canterbury,2012-07-01
17.0,Canterbury,2012-08-01
21.0,Canterbury,2012-09-01
23.0,Canterbury,2012-10-01
25.0,Canterbury,2012-11-01
26.0,Canterbury,2012-12-01
21.0,Canterbury,2013-01-01
22.0,Canterbury,2013-02-01
14.0,Canterbury,2013-03-01
12.0,Canterbury,2013-04-01
16.0,Canterbury,2013-05-01
18.0,Canterbury,2013-06-01
15.0,Canterbury,2013-07-01
27.0,Canterbury,2013-08-01
14.0,Canterbury,2013-09-01
20.0,Canterbury,2013-10-01
19.0,Canterbury,2013-11-01
21.0,Canterbury,2013-12-01
19.0,Canterbury,2014-01-01
16.0,Canterbury,2014-02-01
25.0,Canterbury,2014-03-01
17.0,Canterbury,2014-04-01
12.0,Canterbury,2014-05-01
14.0,Canterbury,2014-06-01
23.0,Canterbury,2014-07-01
19.0,Canterbury,2014-08-01
13.0,Canterbury,2014-09-01
41.0,Canterbury,2014-10-01
21.0,Canterbury,2014-11-01
27.0,Canterbury,2014-12-01
33.0,Canterbury,2015-01-01
21.0,Canterbury,2015-02-01
24.0,Canterbury,2015-03-01
28.0,Canterbury,2015-04-01
24.0,Canterbury,2015-05-01
41.0,Canterbury,2015-06-01
25.0,Canterbury,2015-07-01
19.0,Canterbury,2015-08-01
19.0,Canterbury,2015-09-01
